source,title,publisher,issn,eissn,field,scopus,wos,wos_indexes,abdc_rating
abdc,Academy of Management Journal,Academy of Management,0001-4273,1948-0989,management,true,true,SSCI,A*
abdc,Journal of Marketing,SAGE Publications,0022-2429,1547-7185,marketing,true,true,SSCI,A*
scopus,PLOS ONE,Public Library of Science,1932-6203,1932-6203,medicine,true,true,SCIE,
wos,Frontiers in Psychology,Frontiers,1664-1078,1664-1078,psychology,true,true,SSCI|SCIE,
